id,transcript_user,metadata
1,"I'm feeling excited about this new project!",2024-01-01
2,"Work has been stressful and I'm feeling overwhelmed.",2024-01-02
3,"Today was a great day and I'm happy about my progress.",2024-01-03
4,I had a wonderful conversation with my team and feel grateful.,2024-01-04
5,"I'm anxious about the presentation tomorrow.",2024-01-05
6,The weekend was relaxing and I feel content.,2024-01-06
7,"I feel exhausted by all the tasks on my plate.",2024-01-07
8,"My mentor gave me great feedback and I'm confident now.",2024-01-08
9,I'm grateful for the support from my colleagues.,2024-01-09
10,"I'm struggling to find work-life balance and feel frustrated.",2024-01-10
11,"I'm sad about missing the team event.",2024-01-11
12,"I feel nervous about the upcoming deadline.",2024-01-12
13,"I'm thrilled about the new opportunity ahead.",2024-01-13
14,"I'm worried about the project timeline.",2024-01-14
15,"I feel cheerful after the successful meeting.",2024-01-15
